
115.0,333.0,81.0,87.0,11.0,55.0,1.01,115.0,3.0
107.0,309.0,78.0,56.0,8.0,53.0,0.96,100.0,3.0
57.0,273.0,35.0,32.0,5.0,27.0,0.81,81.0,2.0
39.0,58.0,20.0,23.0,4.0,29.0,0.67,73.0,1.0
47.0,145.0,24.0,36.0,5.0,41.0,0.64,85.0,1.0
82.0,277.0,53.0,62.0,7.0,61.0,0.8,82.0,2.0
57.0,175.0,26.0,37.0,5.0,33.0,0.54,104.0,2.0
64.0,250.0,44.0,53.0,6.0,42.0,0.74,75.0,2.0
66.0,215.0,34.0,45.0,5.0,41.0,0.65,95.0,2.0
53.0,118.0,18.0,49.0,5.0,35.0,0.54,96.0,2.0
64.0,180.0,44.0,46.0,5.0,41.0,0.62,92.0,2.0
82.0,242.0,45.0,56.0,6.0,42.0,0.71,122.0,2.0
61.0,170.0,43.0,50.0,5.0,45.0,0.62,65.0,2.0
37.0,31.0,18.0,30.0,4.0,28.0,0.51,69.0,1.0
38.0,33.0,25.0,32.0,4.0,37.0,0.57,45.0,1.0
29.0,14.0,18.0,14.0,4.0,41.0,0.57,33.0,1.0
63.0,218.0,45.0,39.0,5.0,53.0,0.99,48.0,2.0
128.0,343.0,96.0,12.0,7.0,76.0,1.29,35.0,3.0
53.0,177.0,37.0,32.0,5.0,46.0,0.73,56.0,2.0
44.0,71.0,24.0,38.0,4.0,32.0,0.61,73.0,1.0
51.0,152.0,15.0,33.0,5.0,27.0,0.48,99.0,2.0
51.0,161.0,30.0,32.0,4.0,43.0,0.64,62.0,2.0
50.0,192.0,35.0,12.0,4.0,54.0,0.65,35.0,1.0
39.0,79.0,23.0,26.0,4.0,39.0,0.62,62.0,1.0
92.0,335.0,59.0,88.0,8.0,51.0,0.97,74.0,2.0
74.0,286.0,32.0,94.0,7.0,57.0,0.69,70.0,2.0
66.0,171.0,28.0,73.0,6.0,61.0,0.64,74.0,2.0
70.0,197.0,33.0,66.0,7.0,54.0,0.63,99.0,2.0
77.0,251.0,39.0,55.0,6.0,26.0,0.63,125.0,2.0
56.0,210.0,22.0,43.0,6.0,21.0,0.46,100.0,2.0
55.0,197.0,12.0,47.0,5.0,25.0,0.41,97.0,2.0
55.0,185.0,16.0,43.0,5.0,29.0,0.44,103.0,2.0
81.0,295.0,34.0,56.0,8.0,41.0,0.61,125.0,2.0
76.0,236.0,36.0,53.0,7.0,34.0,0.55,128.0,2.0
92.0,284.0,40.0,60.0,8.0,40.0,0.62,134.0,2.0
76.0,166.0,34.0,53.0,6.0,32.0,0.58,116.0,2.0
50.0,67.0,24.0,35.0,7.0,32.0,0.57,88.0,1.0
50.0,85.0,21.0,28.0,5.0,25.0,0.57,89.0,1.0
32.0,22.0,20.0,22.0,5.0,27.0,0.56,58.0,1.0
60.0,191.0,43.0,34.0,5.0,39.0,0.71,48.0,2.0
34.0,29.0,22.0,22.0,5.0,35.0,0.63,45.0,1.0
55.0,207.0,38.0,29.0,6.0,39.0,0.79,48.0,2.0
77.0,288.0,56.0,60.0,6.0,43.0,0.74,55.0,2.0
66.0,242.0,29.0,67.0,6.0,35.0,0.52,77.0,2.0
83.0,317.0,30.0,81.0,8.0,51.0,0.55,109.0,2.0
102.0,339.0,42.0,84.0,9.0,46.0,0.68,147.0,3.0
134.0,355.0,61.0,100.0,11.0,53.0,0.78,178.0,3.0
92.0,275.0,35.0,68.0,7.0,39.0,0.58,136.0,2.0
55.0,148.0,23.0,50.0,4.0,16.0,0.51,100.0,2.0
42.0,133.0,20.0,30.0,4.0,16.0,0.57,76.0,1.0
50.0,220.0,27.0,35.0,4.0,20.0,0.7,75.0,1.0
51.0,196.0,11.0,28.0,4.0,24.0,0.46,94.0,2.0
52.0,172.0,24.0,50.0,6.0,71.0,0.65,60.0,2.0
53.0,177.0,23.0,44.0,5.0,46.0,0.56,92.0,2.0
85.0,333.0,61.0,33.0,5.0,42.0,0.88,83.0,2.0
57.0,167.0,34.0,22.0,4.0,31.0,0.6,99.0,2.0
61.0,174.0,19.0,24.0,4.0,24.0,0.53,111.0,2.0
61.0,189.0,30.0,30.0,4.0,22.0,0.58,111.0,2.0
